kategori,alt_kategori,urun_adi,fiyat,birim,miktar
Atıştırmalık,Kuruyemiş,Malatya Pazarı Kabuklu Yer Fıstığı,47.99,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı Kabuklu Fıstık,88.5,1,
Atıştırmalık,Kuruyemiş,Cracking Ketçap Aromalı Çıtır Kaplamalı Ayçekirdek İçi,31.5,1,
Atıştırmalık,Kuruyemiş,Cracking Süt Mısır Aromalı Çıtır Kaplamalı Ayçekirdek İçi,31.5,1,
Atıştırmalık,Kuruyemiş,Otto Nuts Vegan Çiğ Karışık Kuruyemiş,27.99,1,
Atıştırmalık,Kuruyemiş,List Nuts Kavrulmuş Sarı Leblebi,17.99,1,
Atıştırmalık,Kuruyemiş,Drybox Tarçınlı Elma & Armut Cipsi İkilisi,147.5,1,
Atıştırmalık,Gofret,Kinder Bueno,38.5,1,
Atıştırmalık,Gofret,Kinder Bueno Beyaz Çikolatalı,38.5,1,
Atıştırmalık,Gofret,Nesquik Sandviç Gofret,11.5,1,
Atıştırmalık,Gofret,Nestlé Nesquik Sütlü Çikolatalı Gofret 26.7g,14.5,1,
Atıştırmalık,Gofret,Nesquik Gofret,63.99,1,
Atıştırmalık,Gofret,Ülker Çikolatalı Gofret,13.5,1,
Atıştırmalık,Gofret,Ülker Çikolatalı Gofret,57.5,1,
Atıştırmalık,Gofret,Ülker Maxi Çikolatalı Gofret ,15.99,1,
